name,website_url,short_description,long_description,logo_url,pricing_type,categories
ChatGPT,https://chat.openai.com,Conversational AI assistant for text generation and problem-solving,"ChatGPT is a state-of-the-art conversational AI developed by OpenAI. It can assist with writing, coding, analysis, and creative tasks through natural dialogue.",https://images.unsplash.com/photo-1677442136019-21780ecad995?w=400&auto=format&fit=crop,Freemium,"Text & Writing,Productivity"
Midjourney,https://midjourney.com,AI art generator creating stunning images from text descriptions,"Midjourney is a powerful AI art generator that creates high-quality, imaginative images from text prompts. Perfect for artists, designers, and creative professionals.",https://images.unsplash.com/photo-1686191128892-c0f18d9f5fcd?w=400&auto=format&fit=crop,Paid,Image Generation
Eleven Labs,https://elevenlabs.io,Realistic AI voice generation and voice cloning technology,Eleven Labs offers cutting-edge text-to-speech and voice cloning technology with incredibly realistic results. Ideal for content creators and developers.,https://images.unsplash.com/photo-1589903308904-1010c2294adc?w=400&auto=format&fit=crop,Freemium,Audio & Voice
Runway ML,https://runwayml.com,Professional AI video editing and generation platform,"Runway ML provides advanced AI tools for video editing, generation, and effects. Used by creative professionals worldwide for cutting-edge video production.",https://images.unsplash.com/photo-1492619375914-88005aa9e8fb?w=400&auto=format&fit=crop,Freemium,Video Creation
GitHub Copilot,https://github.com/features/copilot,AI pair programmer helping developers write code faster,"GitHub Copilot is an AI-powered code completion tool that suggests entire lines or blocks of code as you type, trained on billions of lines of code.",https://images.unsplash.com/photo-1555066931-4365d14bab8c?w=400&auto=format&fit=crop,Paid,"Code Assistant,Productivity"
Jasper AI,https://jasper.ai,AI content writer for marketing and blog content,"Jasper AI helps marketers and content creators produce high-quality content faster. From blog posts to ad copy, Jasper streamlines the writing process.",https://images.unsplash.com/photo-1455390582262-044cdead277a?w=400&auto=format&fit=crop,Paid,"Text & Writing,Marketing"
DALL-E 3,https://openai.com/dall-e-3,Advanced text-to-image generation by OpenAI,"DALL-E 3 is OpenAI's latest image generation model, creating highly detailed and accurate images from text descriptions with improved understanding.",https://images.unsplash.com/photo-1686191128644-9fc8bf2d0c73?w=400&auto=format&fit=crop,Freemium,Image Generation
Copy.ai,https://copy.ai,AI writing assistant for various content types,"Copy.ai is an AI-powered writing tool that helps create marketing copy, product descriptions, social media posts, and more in seconds.",https://images.unsplash.com/photo-1542435503-956c469947f6?w=400&auto=format&fit=crop,Freemium,"Text & Writing,Marketing"
Notion AI,https://notion.so/product/ai,AI-powered writing and organization within Notion,"Notion AI integrates directly into your Notion workspace, helping you write, brainstorm, and organize information more efficiently.",https://images.unsplash.com/photo-1484480974693-6ca0a78fb36b?w=400&auto=format&fit=crop,Freemium,"Text & Writing,Productivity"
Stable Diffusion,https://stability.ai,Open-source AI image generation model,"Stable Diffusion is a powerful open-source text-to-image model that can generate detailed images from text descriptions, available for free use.",https://images.unsplash.com/photo-1620641788421-7a1c342ea42e?w=400&auto=format&fit=crop,Free,Image Generation
Synthesia,https://synthesia.io,Create AI videos with virtual avatars,"Synthesia enables you to create professional videos with AI avatars speaking your script in multiple languages, without cameras or actors.",https://images.unsplash.com/photo-1611162617213-7d7a39e9b1d7?w=400&auto=format&fit=crop,Paid,"Video Creation,Marketing"
Grammarly,https://grammarly.com,AI-powered writing assistant and grammar checker,"Grammarly uses AI to improve your writing by checking grammar, spelling, style, and tone across all your applications and websites.",https://images.unsplash.com/photo-1456324504439-367cee3b3c32?w=400&auto=format&fit=crop,Freemium,"Text & Writing,Productivity"
闪电说,https://shandianshuo.cn/,"","","",Freemium,办公效率
GitHub Copilot Test,https://github.com/features/copilot,AI pair programmer,,,Freemium,""
